sabal	ˈsaː.bɐl
labawliknayan	lɐ.baʊ̯.lɪkˈn̪aː.jɐn̪
pampasarap	pɐm.pɐ.sɐˈɾap̚
diyeli	ˈd͡ʒɛː.lɪ
lala	lɐˈlaʔ
bakuran	bɐˈxuː.ɾɐn̪
dinero	d̪ɪˈn̪ɛː.ɾo
karning-aso	kɐɾˌn̪ɪŋ ˈʔaː.so
kawalang-trabaho	kɐ.wɐˌlaŋ t̪ɾɐˈbaː.ho
magpapansin	mɐɡ.pɐ.pɐn̪ˈsɪn̪
kubngulo	kʊbˈŋuː.lo
mapagbigay	mɐ.pɐɡ.bɪˈɣaɪ̯
aseyte	ʔɐˈseɪ̯.t̪ɛ
talipapa	t̪ɐ.lɪ.pɐˈpaʔ
kompas	ˈkom.pɐs
kawal-an	kɐ.wɐlˈʔan̪
buhay-alamang	ˌbuː.haɪ̯ ʔɐ.lɐˈmaŋ
kamatsile	kɐˌmaː.t͡ʃɪˈlɛ
klabos	ˈklaː.bos
manulat	mɐˈn̪uː.lɐt̪̚
awdiyo-biswal	ˌʔaʊ̯.d͡ʒo bɪsˈwal
pik-ap	ˈpik.ʔɐp̚
galitin	ɡɐˈliː.t̪ɪn̪
dilat ang mata	d̪ɪˌlat̪ ʔɐŋ mɐˈt̪a
pamaltik	pɐ.mɐlˈt̪ɪk̚
matamis	mɐ.t̪ɐˈmɪs
tangkulok	t̪ɐŋˈkuː.lok̚
motorista	mo.t̪oˈɾis.t̪ɐ
pinansiya	pɪˈn̪an̪.ʃɐ
nanananghalian	n̪ɐˌn̪aː.n̪ɐŋ.hɐˈliː.ʔɐn̪
larga	ˈlaɾ.ɡɐ
talunin	t̪ɐˈluː.n̪ɪn̪
tsesbord	ˈt͡ʃɛs.boɹd̪
bendito	bɛn̪ˈd̪iː.t̪o
anekdotista	ʔɐ.n̪ɛk.d̪oˈt̪is.t̪ɐ
gastos	ˈɡas.t̪os
rumba	ˈɾum.bɐ
kinakawayan	kɪˌn̪aː.xɐ.wɐˈjan̪
teyp rekorder	ˌt̪eɪ̯p ɾɛˈxoɾ.d̪ɛɾ
kantin	kɐn̪ˈt̪ɪn̪
kring	ˈkɾɪŋ
aktwalidad	ʔɐk.t̪wɐ.lɪˈd̪ad̪̚
tinggalan	t̪ɪŋˈɡaː.lɐn̪
lipi	ˈliː.pɪʔ
uban	ˈʔuː.bɐn̪
yumukdo	jʊ.mʊkˈd̪o
pahutan	pɐˈhuː.t̪ɐn̪
impilya	ʔɪmˈpil.jɐ
altimetria	ʔɐl.t̪ɪ.mɛˈt̪ɾiː.jɐ
nabubuhay	n̪ɐ.bʊˈbuː.haɪ̯
rupero	ɾʊˈpɛː.ɾo
korte suprema	ˌkoɾ.t̪ɛ sʊˈpɾɛː.mɐ
kulubot	kʊ.lʊˈbot̪̚
pangkasaysayan	pɐŋ.kɐ.saɪ̯ˈsaː.jɐn̪
tagiamo	t̪ɐ.ɣɪˈʔaː.moʔ
alhebrayka	ʔɐl.hɛˈbɾaɪ̯.xɐ
akrobat	ˌʔak.ɾoˈbat̪̚
kemistri	ˌkɛː.mɪsˈt̪ɾɪ
pensyonado	pɛn̪.ʃoˈn̪aː.d̪o
katatagan	kɐ.t̪ɐ.t̪ɐˈɣan̪
liit	lɪˈʔɪt̪̚
palakas-tinig	pɐ.lɐˌxas ˈt̪iː.n̪ɪɡ̚
tawiran	ˌt̪aːˈwiː.ɾɐn̪
pagyutyot	pɐɡ.jʊtˈt͡ʃot̪̚
kataas-taasan	kɐ.t̪ɐˌʔas t̪ɐˈʔaː.sɐn̪
yata	ˈjaː.t̪ɐʔ
bagay sa	ˈbaː.ɣaɪ̯ sɐ
kawawaan	kɐ.wɐˈwaː.ʔɐn̪
pagerper	ˌpaːˈɣɛɾ.pɛɾ
limpa	lɪmˈpaʔ
kastigo	kɐsˈt̪iː.ɣo
apelasyon	ʔɐ.pɛ.lɐˈʃon̪
papagayo	pɐ.pɐˈɣaː.jo
lakdang	lɐkˈd̪aŋ
kontak	ˈkon̪.t̪ɐk̚
tilarok	t̪ɪˈlaː.ɾok̚
pagkakaiba-iba	pɐɡ.kɐ.xɐ.ʔɪˌba ʔɪˈba
orgulyo	ʔoɾˈɡul.jo
sangyuta	sɐŋˈjuː.t̪ɐʔ
lunggati	lʊŋ.ɡɐˈt̪ɪʔ
islayd	ʔɪsˈlaɪ̯d̪
batumbesi	bɐ.t̪ʊmˈbɛː.sɪ
merengge	mɛˈɾɛŋ.ɡɛ
hukuman ng apelasyon	hʊˌxuː.mɐn̪ n̪ɐŋ ʔɐ.pɛ.lɐˈʃon̪
letrina	lɛˈt̪ɾiː.n̪ɐ
cariñosa	kɐ.ɾɪnˈɲoː.sɐ
panirahan	ˌpaː.n̪ɪˈɾaː.hɐn̪
amenorea	ʔɐ.mɛ.n̪oˈɾɛː.jɐ
limot	ˈliː.mot̪̚
aportunado	ʔɐ.poɾ.t̪ʊˈn̪aː.d̪o
pato	ˈpaː.t̪o
lamangkati	lɐ.mɐŋˈkaː.t̪ɪ
mumo	ˈmuː.mo
kuwarto	ˈkwaɾ.t̪o
salwak	sɐlˈwak̚
esenaryo	ʔɛ.sɛˈn̪aɾ.jo
resistensiya	ɾɛ.sɪsˈt̪ɛn̪.ʃɐ
di nga salamat	d̪ɪʔ ˌŋaʔ sɐˈlaː.mɐt̪̚
panliligaw	pɐn̪.lɪˈliː.ɣaʊ̯
paghahabol	pɐɡ.hɐˈhaː.bol
umamin	ʔʊˈmaː.mɪn̪
taladalasan	t̪ɐˌlaː.d̪ɐˈlaː.sɐn̪
maulanan	mɐ.ʔʊ.lɐˈn̪an̪
kabut-o	kɐ.bʊt̪ˈʔo
salmon	sɐlˈmon̪
ingreso	ʔɪŋˈɡɾɛː.so
soologo	soˌʔoː.loˈɣo
ipalinis	ʔɪ.pɐˈliː.n̪ɪs
lungki	lʊŋˈkɪʔ
biyolento	bjoˈlɛn̪.t̪o
halusinasyon	hɐ.lʊ.sɪ.n̪ɐˈʃon̪
asindero	ʔɐ.sɪn̪ˈd̪ɛː.ɾo
awdyo	ˈʔaʊ̯.d͡ʒo
basalto	bɐˈsal.t̪o
taliwas	t̪ɐ.lɪˈwas
higote	hɪˈɣoː.t̪ɛ
kultura	kʊlˈt̪uː.ɾɐ
panipisin	pɐ.n̪ɪ.pɪˈsɪn̪
arpiya	ʔɐɾˈpiː.jɐ
harap sa kaliwa	hɐˌɾap sɐ xɐ.lɪˈwaʔ
buhangin	bʊˈhaː.ŋɪn̪
insulador	ʔɪn̪.sʊ.lɐˈd̪oɾ
baldado	bɐlˈd̪aː.d̪o
buthuan	bʊt̪ˈhuː.ʔɐn̪
imoral	ʔɪ.moˈɾal
gulyabaw	ɡʊlˈjaː.baʊ̯
sapatilya	sɐ.pɐ.t̪ɪlˈja
aluktiya	ʔɐ.lʊkˈt̪iː.jɐʔ
palikpik	pɐ.lɪkˈpɪk̚
ampay	ʔɐmˈpaɪ̯
mag-aral	mɐɡˈʔaː.ɾɐl
gayahin	ɡɐˈjaː.hɪn̪
anulahin	ʔɐ.n̪ʊ.lɐˈhɪn̪
taong-peking	ˌt̪aː.ʔom pɛˈxɪŋ
magsilbi	mɐɡ.sɪlˈbɪ
penikada	pɛ.n̪ɪˈxaː.d̪ɐ
seresa	sɛˈɾɛː.sɐ
nagnanakaw	n̪ɐɡ.n̪ɐˈn̪aː.xaʊ̯
asidulado	ʔɐ.sɪ.d̪ʊˈlaː.d̪o
sabit	ˈsaː.bɪt̪̚
pula ng itlog	pʊˌla n̪ɐŋ ʔɪt̪ˈl̪oɡ̚
ampolyas	ʔɐmˈpol.jɐs
kalasaw	kɐ.lɐˈsaʊ̯
bagito	bɐˈɣiː.t̪o
humirap	hʊˈmiː.ɾɐp̚
lalamunan	lɐ.lɐˈmuː.n̪ɐn̪
labang-tubo	lɐˌban̪ ˈt̪uː.boʔ
sintang	sɪn̪ˈt̪aŋ
dyadema	d͡ʒɐˈd̪ɛː.mɐ
magamot	mɐ.ɣɐˈmot̪̚
tabletas	t̪ɐbˈlɛː.t̪ɐs
akotasyon	ʔɐ.xo.t̪ɐˈʃon̪
lagok	lɐˈɣok̚
manumbalik	mɐ.n̪ʊmˈbaː.lɪk̚
kakainan	kɐ.xɐ.ʔɪˈn̪an̪
animas	ˌʔaː.n̪ɪˈmas
puwit	ˈpwɪt̪̚
performans	pɛɾˈfoɾ.mɐn̪s
tradisyon	t̪ɾɐ.d̪ɪˈʃon̪
ansikutero	ʔɐn̪.sɪ.xʊˈt̪ɛː.ɾo
daloy	ˈd̪aː.loɪ̯
panagko	pɐ.n̪ɐɡˈkoʔ
talatinigan	t̪ɐˌlaː.t̪ɪˈn̪iː.ɣɐn̪
pagsuob ng kamanyang	pɐɡ.sʊˌʔob n̪ɐŋ kɐ.mɐnˈɲaŋ
laiw	ˈlaː.ʔɪʊ̯
bulanglang	bʊ.lɐn̪ˈlaŋ
isipan	ʔɪˈsiː.pɐn̪
panibago	pɐ.n̪ɪˈbaː.ɣo
maralita	mɐˌɾaː.lɪˈt̪aʔ
pinoy step	pɪˌn̪oɪ̯ ʔɪsˈt̪ɛp̚
tumayo sa sariling paa	t̪ʊ.mɐˌjoʔ sɐ sɐˌɾiː.lɪm pɐˈʔa
baybayin	baɪ̯ˈbaː.jɪn̪
musoleyo	mʊ.soˈlɛː.jo
tsikinini	t͡ʃɪ.xɪˈn̪iː.n̪ɪʔ
malalakas	mɐ.lɐ.lɐˈxas
lungkag	lʊŋˈkaɡ̚
lagong	ˈlaː.ɣoŋ
sinili	sɪ.n̪ɪˈlɪ
tumawag ka ng ambulansiya	t̪ʊˌmaː.wɐɡ kɐ n̪ɐŋ ʔɐm.bʊˈlan̪.ʃɐ
indak	ʔɪn̪ˈd̪ak̚
sagpi	sɐɡˈpɪʔ
trapo	ˈt̪ɾaː.po
silweta	sɪlˈwɛː.t̪ɐ
nordeste	n̪oɾˈd̪ɛs.t̪ɛ
lustay	lʊsˈt̪aɪ̯
pamook	pɐ.moˈʔok̚
kakahiyaan	ˌkaː.xɐ.hjɐˈʔan̪
makipag-away	mɐ.xɪ.pɐɡˈʔaː.waɪ̯
trambiya	t̪ɾɐmˈbiː.jɐ
gatong	ˈɡaː.t̪oŋ
putspa	ˈput̪s.pɐ
aguha	ʔɐˈɣuː.hɐ
istitusyon	ʔɪs.t̪ɪ.t̪ʊˈʃon̪
atityud	ˌʔaː.t̪ɪtˈt͡ʃʊd̪̚
itim na tupa	ʔɪˌt̪ɪm n̪ɐ ˈt̪uː.pɐ
lingkod	lɪŋˈkod̪̚
dayalogo	d̪ɐˌjaː.loˈɣo
bapor-de-giyera	bɐˌpoɾ d̪ɛ ˈɡjɛː.ɾɐ
abusado	ʔɐ.bʊˈsaː.d̪o
relaksasyon	ɾɛ.lɐk.sɐˈʃon̪
rebelde	ɾɛˈbɛl.d̪ɛ
makipagchat	mɐ.xɪ.pɐɡˈt͡ʃat̪̚
lilok	ˈliː.lok̚
lihit	ˈliː.hɪt̪̚
kwaki	ˈkwaː.xɪʔ
babaero	bɐ.bɐˈʔɛː.ɾo
indiyo	ʔɪn̪ˈd͡ʒo
asemblea	ʔɐ.sɛmˈblɛː.jɐ
talitis	t̪ɐˈliː.t̪ɪs
panhik	pɐn̪ˈhɪk̚
sedula	ˌsɛː.d̪ʊˈla
anunsiyante	ʔɐ.n̪ʊn̪ˈʃan̪.t̪ɛ
mangyan	mɐŋˈjan̪
makrema	mɐˈkɾɛː.mɐ
hinahon	hɪˈn̪aː.hon̪
ina	ʔɪˈn̪a
hagupit	hɐ.ɣʊˈpɪt̪̚
limpiyo	ˈlim.pjo
isingit	ʔɪˈsiː.ŋɪt̪̚
magalit	mɐˈɣaː.lɪt̪̚
pangatlong batis	pɐ.ŋɐt̪ˌl̪om ˈbaː.t̪ɪs
bahada	bɐˈhaː.d̪ɐ
miy.	ˈmɪj
malamat	mɐˈlaː.mɐt̪̚
balukanag	bɐ.lʊ.xɐˈn̪aɡ̚
manibalang	mɐ.n̪ɪ.bɐˈlaŋ
initsigan	ˌʔiː.n̪ɪt̪ˈsiː.ɣɐn̪
gumulang	ɡʊˈmuː.lɐŋ
talangkas	t̪ɐ.lɐŋˈkas
bulati	bʊˈlaː.t̪ɪ
antituberkuloso	ʔɐn̪.t̪ɪ.t̪ʊ.bɛɾ.kʊˈloː.so
panghininga	pɐŋ.hɪ.n̪ɪˈŋa
apatnapu	ˌʔaː.pɐt̪.n̪ɐˈpʊʔ
alam mo	ʔɐˈlam mo
patronahe	pɐt̪.ɾoˈn̪aː.hɛ
holdaper	holˈd̪aː.pɛɾ
nabubuwisit	n̪ɐ.bʊˈbwiː.sɪt̪̚
akbay	ʔɐkˈbaɪ̯
asada	ʔɐˈsaː.d̪ɐ
limbag	lɪmˈbaɡ̚
direktora	d̪ɪ.ɾɛkˈt̪oː.ɾɐ
ino	ʔɪˈn̪o
baguhan	bɐˈɣuː.hɐn̪
paninda	pɐ.n̪ɪn̪ˈd̪a
maayos	mɐˈʔaː.jos
bansing-tao	bɐn̪ˌsɪn̪ ˈt̪aː.ʔo
kiti-kiti	kɪˌt̪ɪ xɪˈt̪ɪ
impunto	ʔɪmˈpun̪.t̪o
intuwisyon	ʔɪn̪.t̪wɪˈʃon̪
anmeron	ʔɐn̪ˈmɛː.ɾon̪
pisig	ˈpiː.sɪɡ̚
tsaleko	t͡ʃɐˈlɛː.xo
sinelas	sɪˈn̪ɛː.lɐs
dekada otsenta	d̪ɛˌxaː.d̪ɐ ʔotˈt͡ʃɛn̪.t̪ɐ
tatyaw	ˈt̪aː.t͡ʃaʊ̯
dyet	ˈd͡ʒɛt̪̚
pahot	ˈpaː.hot̪̚
gusto	ɡʊsˈt̪o
pordyosero	poɾ.d͡ʒoˈsɛː.ɾo
ngiti	ŋɪˈt̪ɪʔ
sentenaryo	sɛn̪.t̪ɛˈn̪aɾ.jo
pera	ˈpɛː.ɾɐ
hitambal-satambal	hɪ.t̪ɐmˌbal sɐ.t̪ɐmˈbal
paghihingalo	pɐɡ.hɪ.hɪ.ŋɐˈloʔ
estratehiko	ʔɛs.t̪ɾɐˌt̪ɛː.hɪˈxo
duling	ˈd̪uː.lɪŋ
saha	ˈsaː.hɐʔ
pang- -han	pɐŋ hɐn̪
salisi	sɐ.lɪˈsɪ
dumighay	d̪ʊ.mɪɡˈhaɪ̯
alas-nuwebe	ʔɐˌlas ˈn̪wɛː.bɛ
dipterya	d̪ɪpˈt̪ɛɾ.jɐ
sigaro	sɪˈɣaː.ɾo
langit at lupa	ˌlaː.ŋɪt̪ ʔɐt̪ ˈl̪uː.pɐʔ
suminga	sʊ.mɪˈŋa
kumpites	kʊmˈpiː.t̪ɛs
butiha	bʊˈt̪iː.hɐ
klibe	ˈkliː.bɛ
tapilok	t̪ɐ.pɪˈlok̚
botika	boˈt̪iː.xɐ
patungo	pɐˈt̪uː.ŋo
karitela	kɐ.ɾɪˈt̪ɛː.lɐ
eronota	ʔɛ.ɾoˈn̪oː.t̪ɐ
abrebyasyon	ʔɐ.bɾɛb.jɐˈʃon̪
tandyerin	ˌt̪an̪.d͡ʒɛˈɾɪn̪
agawin	ʔɐˈɣaː.wɪn̪
esmeril	ʔɛsˈmɛː.ɾɪl
sushi	ˈsuː.ʃɪ
mensahero	mɛn̪.sɐˈhɛː.ɾo
ariin	ʔɐˈɾiː.ʔɪn̪
ragat	ˈɾaː.ɣɐt̪̚
palisi	ˌpaː.lɪˈsɪ
rekording	ɾɛˈxoɾ.d̪ɪŋ
bilyar	bɪlˈjaɾ
eskandalo	ʔɛsˌkan̪.d̪ɐˈlo
usngal	ʔʊsˈŋal
biyograpikal	bjo.ɡɾɐ.pɪˈxal
seko	ˈsɛː.xo
sabik	sɐˈbɪk̚
dalub-ulnungan	d̪ɐ.lʊb.ʔʊlˈn̪uː.ŋɐn̪
magaan sa bulsa	mɐ.ɣɐˌʔan̪ sɐ bʊlˈsa
mawalna	mɐ.wɐlˈn̪aʔ
basista	bɐˈsis.t̪ɐ
awtograpo	ʔaʊ̯ˌt̪oː.ɡɾɐˈpo
katre	ˈkaː.t̪ɾɛ
buklod	bʊkˈlod̪̚
indeks	ˈʔin̪.d̪ɛks
erasyon	ʔɛ.ɾɐˈʃon̪
walo	wɐˈlo
reklamador	ɾɛk.lɐ.mɐˈd̪oɾ
sakya	sɐkˈjaʔ
karpintero	kɐɾ.pɪn̪ˈt̪ɛː.ɾo
maardil	mɐ.ʔɐɾˈd̪ɪl
dumalaw	d̪ʊˈmaː.laʊ̯
palarindingan	pɐ.lɐ.ɾɪn̪ˈd̪iː.ŋɐn̪
litson	lɪtˈt͡ʃon̪
arenda	ʔɐ.ɾɛn̪ˈd̪a
alusyon	ʔɐ.lʊˈʃon̪
resolbe	ɾɛ.solˈbɛ
papawid	pɐ.pɐˈwɪd̪̚
damahan	d̪ɐ.mɐˈhan̪
kabato	kɐ.bɐˈt̪o
atomo	ˌʔaː.t̪oˈmo
dadalwahing sukod	d̪ɐ.d̪ɐlˌwaː.hɪn̪ ˈsuː.xod̪̚
inspirasyunal	ʔɪn̪s.pɪ.ɾɐ.ʃʊˈn̪al
sombrero	somˈbɾɛː.ɾo
lintog	lɪn̪ˈt̪oɡ̚
ikaapat na palarindingan	ʔɪ.xɐˌʔaː.pɐt̪ n̪ɐ pɐ.lɐ.ɾɪn̪ˈd̪iː.ŋɐn̪
dilambuwaya	ˌd̪iː.lɐmˈbwaː.jɐ
lubang	ˈluː.bɐŋ
pagakpak	pɐ.ɣɐkˈpak̚
kasalanan	kɐ.sɐˈlaː.n̪ɐn̪
itaboy	ʔɪ.t̪ɐˈboɪ̯
hilis	hɪˈlɪs
empleada	ʔɛm.plɛˈjaː.d̪ɐ
kalsada	kɐlˈsaː.d̪ɐ
anla	ʔɐn̪ˈla
abog	ʔɐˈboɡ̚
litsiyas	lɪtˈt͡ʃiː.jɐs
luya	ˈluː.jɐ
palaton	pɐ.lɐˈt̪on̪
hinguto	hɪˈŋuː.t̪o
tuklap	t̪ʊkˈlap̚
ayon kay	ˈʔaː.joŋ kaɪ̯
ekipahe	ʔɛ.xɪˈpaː.hɛ
puwaki	ˈpwaː.xɪʔ
plaka	ˈplaː.xɐ
talahiban	ˌt̪aː.lɐ.hɪˈban̪
kabagang	kɐ.bɐˈɣaŋ
mambobola	mɐm.boˈboː.lɐ
bitaw	bɪˈt̪aʊ̯
lait	ˈlaː.ʔɪt̪̚
sukob	ˈsuː.xob̚
mag-like	mɐɡ ˈlaɪ̯k
hasaan	hɐ.sɐˈʔan̪
kinakapatid	kɪˌn̪aː.xɐ.pɐˈt̪ɪd̪̚
salungat	sɐ.lʊˈŋat̪̚
saliwa	sɐ.lɪˈwaʔ
patalim	pɐ.t̪ɐˈlɪm
saniban	sɐˈn̪iː.bɐn̪
kalendaryo	kɐ.lɛn̪ˈd̪aɾ.jo
gilotina	ɡɪ.loˈt̪iː.n̪ɐ
aruga	ʔɐ.ɾʊˈɣaʔ
tibak	t̪ɪˈbak̚
sanggalang	sɐŋ.ɡɐˈlaŋ
kakampi	kɐ.xɐmˈpɪ
matanda	mɐ.t̪ɐn̪ˈd̪aʔ
mataas ang ihi	mɐ.t̪ɐˌʔas ʔɐŋ ˈʔiː.hɪʔ
talaghay	t̪ɐ.lɐɡˈhaɪ̯
daanan	d̪ɐˈʔaː.n̪ɐn̪
matakot	mɐˈt̪aː.xot̪̚
husto	hʊsˈt̪o
hayskul	ˈhaɪ̯s.kʊl
magsaliksik	mɐɡ.sɐ.lɪkˈsɪk̚
kudlong	kʊd̪ˈl̪oŋ
karbin	kɐɾˈbɪn̪
baniaga	bɐnˈɲaː.ɣɐʔ
tsiklet	ˈt͡ʃik.lɛt̪̚
signipikante	sɪɡ.n̪ɪ.pɪˈxan̪.t̪ɛ
embahada	ʔɛm.bɐˈhaː.d̪ɐ
tigasaan	t̪ɪ.ɣɐ.sɐˈʔan̪
halikan	hɐ.lɪˈxan̪
hagunoy	hɐˈɣuː.n̪oɪ̯
hambaw	hɐmˈbaʊ̯
dalub-agimat	d̪ɐ.lʊb.ʔɐˈɣiː.mɐt̪̚
askad	ʔɐsˈkad̪̚
sentimyento	sɛn̪.t̪ɪmˈjɛn̪.t̪o
kapihan	kɐˈpiː.hɐn̪
tilandog	t̪ɪ.lɐn̪ˈd̪oɡ̚
kumpronta	kʊm.pɾon̪ˈt̪a
leopardo	lɛ.joˈpaɾ.d̪o
bagko	bɐɡˈkoʔ
trinsera	t̪ɾɪn̪ˈsɛː.ɾɐ
samahan	sɐˈmaː.hɐn̪
sable	ˈsaː.blɛ
suskripsiyon	sʊs.kɾɪpˈʃon̪
mapaminsala	mɐ.pɐ.mɪn̪ˈsaː.lɐʔ
makaluma	mɐ.xɐˈluː.mɐʔ
tagasunod	t̪ɐ.ɣɐ.sʊˈn̪od̪̚
omnisyente	ʔom.n̪ɪˈʃɛn̪.t̪ɛ
ilang taong gulang ka na	ʔɪˌlan̪ t̪ɐˌʔoŋ ˈɡuː.lɐŋ kɐ n̪ɐ
simulasyon	sɪ.mʊ.lɐˈʃon̪
anteohos	ʔɐn̪.t̪ɛˈjoː.hos
managalog	mɐ.n̪ɐˈɣaː.loɡ̚
talos	t̪ɐˈlos
lukutan	lʊˈxuː.t̪ɐn̪
tukang-agila	t̪ʊˌxaŋ ˌʔaː.ɣɪˈla
kontraseptibo	kon̪.t̪ɾɐ.sɛpˈt̪iː.bo
akarolohiya	ʔɐ.xɐ.ɾo.loˈhiː.jɐ
mangamoy	mɐ.ŋɐˈmoɪ̯
suam	ˈsuː.ʔɐm
banas	bɐˈn̪as
palso	pɐlˈso
kaisahan	kɐ.ʔɪ.sɐˈhan̪
kameleon	kɐ.mɛ.lɛˈjon̪
miktataghay	mɪkˌt̪aː.t̪ɐɡˈhaɪ̯
balahaw	bɐˈlaː.haʊ̯
kamaysa	kɐ.maɪ̯ˈsa
poblasyon	pob.lɐˈʃon̪
tsinito	t͡ʃɪˈn̪iː.t̪o
kalayaan	kɐ.lɐˈjaː.ʔɐn̪
pagdudahan	pɐɡ.d̪ʊˈd̪aː.hɐn̪
lipas	ˈliː.pɐs
kasarian	kɐ.sɐ.ɾɪˈʔan̪
maglola	mɐɡˈloː.lɐ
habagat	hɐˈbaː.ɣɐt̪̚
umusbong	ʔʊ.mʊsˈboŋ
puyos	pʊˈjos
alumbiberas	ʔɐ.lʊm.bɪˈbɛː.ɾɐs
lalaksot	lɐ.lɐkˈsot̪̚
