aaban,ʔaʔaˈban,ʔɐ.ʔɐˈban̪
aabisuhan,ˌʔaʔabiˈsuhan,ˌʔaː.ʔɐ.bɪˈsuː.hɐn̪
aagaw,ʔaʔaˈɡaw,ʔɐ.ʔɐˈɣaʊ̯
aak,ʔaˈʔak,ʔɐˈʔak̚
aakyat,ˌʔaʔakˈjat,ˌʔaː.ʔɐkˈjat̪̚
aalog-alog,ˌʔaʔaˌloɡʔaˈloɡ,ˌʔaː.ʔɐˌloɡʔɐˈloɡ̚
aalpombrahin,ʔaʔalpomˈbɾahin,ʔɐ.ʔɐl.pomˈbɾaː.hɪn̪
aalug-alog,ˌʔaʔaˌluɡʔaˈloɡ,ˌʔaː.ʔɐˌlʊɡʔɐˈloɡ̚
aamin,ʔaˈʔamin,ʔɐˈʔaː.mɪn̪
aaminin,ˌʔaʔaˈminin,ˌʔaː.ʔɐˈmiː.n̪ɪn̪
aamyendahan,ˌʔaʔamˌjendaˈhan,ˌʔaː.ʔɐmˌjɛn̪.d̪ɐˈhan̪
aanhin,ˌʔaʔanˈhin,ˌʔaː.ʔɐn̪ˈhɪn̪
aanim,ˌʔaˈʔanim,ˌʔaːˈʔaː.n̪ɪm
aanulahin,ˌʔaʔanulaˈhin,ˌʔaː.ʔɐ.n̪ʊ.lɐˈhɪn̪
aap,ˈʔaʔap,ˈʔaː.ʔɐp̚
aarawan,ˌʔaʔaˈɾawan,ˌʔaː.ʔɐˈɾaː.wɐn̪
aawat,ʔaˈʔawat,ʔɐˈʔaː.wɐt̪̚
aba,ʔaˈbaʔ,ʔɐˈbaʔ
abada,ʔaˈbada,ʔɐˈbaː.d̪ɐ
abadesa,ʔabaˈdesa,ʔɐ.bɐˈd̪ɛː.sɐ
abadiya,ʔabaˈdia,ʔɐ.bɐˈd̪iː.jɐ
abadya,ʔabadˈja,ʔɐ.bɐdˈd͡ʒa
abadyato,ʔabadˈjato,ʔɐ.bɐdˈd͡ʒaː.t̪o
abahin,ʔabaˈhin,ʔɐ.bɐˈhɪn̪
abain,ʔabaˈʔin,ʔɐ.bɐˈʔɪn̪
abaka,ʔabaˈka,ʔɐ.bɐˈxa
abakada,ʔabaˈkada,ʔɐ.bɐˈxaː.d̪ɐ
abakahan,ˌʔabaˈkahan,ˌʔaː.bɐˈxaː.hɐn̪
abako,ʔabaˈko,ʔɐ.bɐˈxo
abakus,ˈʔabakus,ˌʔaː.bɐˈxʊs
abala,ʔaˈbala,ʔɐˈbaː.lɐ
abalahin,ʔabaˈlahin,ʔɐ.bɐˈlaː.hɪn̪
abalang-abala,ʔabaˌlaŋʔabaˈla,ʔɐ.bɐˌlaŋʔɐ.bɐˈla
abaloni,ʔabaˈloni,ʔɐ.bɐˈloː.n̪ɪ
abaloryo,ʔabaˈloɾjo,ʔɐ.bɐˈloɾ.jo
abandona,ʔabandoˈna,ʔɐ.bɐn̪.d̪oˈn̪a
abang,ʔaˈbaŋ,ʔɐˈbaŋ
abang-abang,ˌʔabaŋˈʔabaŋ,ˌʔaː.bɐŋˈʔaː.bɐŋ
abangan,ˌʔaˈbaŋan,ˌʔaːˈbaː.ŋɐn̪
abaniko,ʔabaˈniko,ʔɐ.bɐˈn̪iː.xo
abanse,ʔaˈbanse,ʔɐˈban̪.sɛ
abante,ʔaˈbante,ʔɐˈban̪.t̪ɛ
abarisya,ʔabaˈɾisja,ʔɐ.bɐˈɾiː.ʃɐ
abarka,ʔabaɾˈka,ʔɐ.bɐɾˈka
abarkador,ʔabaɾkaˈdoɾ,ʔɐ.bɐɾ.kɐˈd̪oɾ
abaro,ʔaˈbaɾo,ʔɐˈbaː.ɾo
abaseria,ʔabaseˈɾia,ʔɐ.bɐ.sɛˈɾiː.jɐ
abaseriya,ʔabaseˈɾia,ʔɐ.bɐ.sɛˈɾiː.jɐ
abasero,ʔabaˈseɾo,ʔɐ.bɐˈsɛː.ɾo
abaserya,ʔabaseɾˈja,ʔɐ.bɐ.sɛɾˈja
abastesedor,ʔabasteseˈdoɾ,ʔɐ.bɐs.t̪ɛ.sɛˈd̪oɾ
abat,ʔaˈbat,ʔɐˈbat̪̚
abatan,ˌʔaˈbatan,ˌʔaːˈbaː.t̪ɐn̪
abay,ˈʔabaj,ˈʔaː.baɪ̯
abaya,ʔaˈbaja,ʔɐˈbaː.jɐ
abayan,ʔaˈbajan,ʔɐˈbaː.jɐn̪
abdika,ʔabdiˈka,ʔɐb.d̪ɪˈxa
abdikasyon,ʔabdikasˈjon,ʔɐb.d̪ɪ.xɐˈʃon̪
abduksiyon,ʔabduksiˈon,ʔɐb.d̪ʊkˈʃon̪
abduksyon,ʔabdukˈsjon,ʔɐb.d̪ʊkˈʃon̪
abeha,ʔaˈbeha,ʔɐˈbɛː.hɐ
abeha-maestra,ʔaˌbehamaˈʔestɾa,ʔɐˌbɛː.hɐmɐˈʔɛs.t̪ɾɐ
abehera,ʔabeˈheɾa,ʔɐ.bɛˈhɛː.ɾɐ
abehero,ʔabeˈheɾo,ʔɐ.bɛˈhɛː.ɾo
abelyana,ʔabelˈjana,ʔɐ.bɛlˈjaː.n̪ɐ
abelyano,ʔabelˈjano,ʔɐ.bɛlˈjaː.n̪o
abenida,ʔabeˈnida,ʔɐ.bɛˈn̪iː.d̪ɐ
abente,ʔaˈbente,ʔɐˈbɛn̪.t̪ɛ
abentura,ʔabenˈtuɾa,ʔɐ.bɛn̪ˈt̪uː.ɾɐ
abenturero,ʔabentuˈɾeɾo,ʔɐ.bɛn̪.t̪ʊˈɾɛː.ɾo
aber,ʔaˈbeɾ,ʔɐˈbɛɾ
aberasyon,ʔabeɾasˈjon,ʔɐ.bɛ.ɾɐˈʃon̪
abereyds,ˈʔabeɾejds,ˌʔaː.bɛˈɾeɪ̯d̪s
abereyj,ˈʔabeɾejd͡ʒ,ˌʔaː.bɛˈɾeɪ̯d͡ʒ
aberya,ʔabeɾˈja,ʔɐ.bɛɾˈja
abese,ʔabeˈse,ʔɐ.bɛˈsɛ
abesedaryo,ʔabeseˈdaɾjo,ʔɐ.bɛ.sɛˈd̪aɾ.jo
abestrus,ʔabesˈtɾus,ʔɐ.bɛsˈt̪ɾʊs
abeynte,ʔaˈbejnte,ʔɐˈbeɪ̯n̪.t̪ɛ
abilaw,ʔabiˈlaw,ʔɐ.bɪˈlaʊ̯
abilidad,ʔabiliˈdad,ʔɐ.bɪ.lɪˈd̪ad̪̚
abilo,ʔaˈbilo,ʔɐˈbiː.lo
abintestato,ʔabintesˈtato,ʔɐ.bɪn̪.t̪ɛsˈt̪aː.t̪o
abiohenesis,ʔabjoˈhenesis,ʔɐb.joˌhɛː.n̪ɛˈsɪs
abiso,ʔaˈbiso,ʔɐˈbiː.so
abisuhan,ʔabiˈsuhan,ʔɐ.bɪˈsuː.hɐn̪
abit-abit,ˌʔabitˈʔabit,ˌʔaː.bɪt̪ˈʔaː.bɪt̪̚
abito,ˈʔabito,ˌʔaː.bɪˈt̪o
abitsuwela,ʔabit͡ʃuˈela,ʔɐ.bɪˈt͡ʃwɛː.lɐ
abitsuwelas,ʔabit͡ʃuˈelas,ʔɐ.bɪˈt͡ʃwɛː.lɐs
abiw,ˈʔabiw,ˈʔaː.bɪʊ̯
abiyerta,ʔabiˈeɾta,ʔɐˈbjɛɾ.t̪ɐ
abiyo,ʔaˈbio,ʔɐˈbiː.jo
abiyohenesis,ʔabioˈhenesis,ʔɐ.bjoˌhɛː.n̪ɛˈsɪs
abiyolohiya,ʔabioloˈhia,ʔɐ.bjo.loˈhiː.jɐ
abla,ˈʔabla,ˈʔaː.blɐ
ablatibo,ʔablaˈtibo,ʔɐ.blɐˈt̪iː.bo
able,ʔabˈle,ʔɐbˈlɛ
ablepsiya,ʔaˈblepsia,ʔɐˈblɛp.ʃɐ
ablepsya,ʔaˈblepsja,ʔɐˈblɛp.ʃɐ
abli,ʔabˈli,ʔɐbˈlɪ
ablusyon,ʔablusˈjon,ʔɐ.blʊˈʃon̪
abnegasyon,ʔabneɡasˈjon,ʔɐb.n̪ɛ.ɣɐˈʃon̪
abno,ʔabˈnoʔ,ʔɐbˈn̪oʔ
abnormalidad,ʔabnoɾmaliˈdad,ʔɐb.n̪oɾ.mɐ.lɪˈd̪ad̪̚
abo,ʔaˈbo,ʔɐˈbo
abog,ʔaˈboɡ,ʔɐˈboɡ̚
abogadilyo,ʔaboɡaˈdiljo,ʔɐ.bo.ɣɐˈd̪il.jo
abogago,ʔaboˈɡaɡo,ʔɐ.boˈɣaː.ɣo
abogasia,ʔaboɡaˈsia,ʔɐ.bo.ɣɐˈsiː.jɐ
abogasiya,ʔaboɡaˈsia,ʔɐ.bo.ɣɐˈsiː.jɐ
abogasya,ʔaboɡasˈja,ʔɐ.bo.ɣɐˈʃa
abok,ʔaˈbok,ʔɐˈbok̚
abokado,ʔaboˈkado,ʔɐ.boˈxaː.d̪o
aboli,ʔaboˈli,ʔɐ.boˈlɪ
abolisyon,ʔabolisˈjon,ʔɐ.bo.lɪˈʃon̪
abolisyonismo,ʔabolisjoˈnismo,ʔɐ.bo.lɪ.ʃoˈn̪is.mo
abolisyonista,ʔabolisjoˈnista,ʔɐ.bo.lɪ.ʃoˈn̪is.t̪ɐ
abolisyunista,ʔabolisjuˈnista,ʔɐ.bo.lɪ.ʃʊˈn̪is.t̪ɐ
aborsiyon,ʔaˈboɾsion,ʔɐˈboɾ.ʃon̪
aborsiyonista,ʔaboɾsioˈnista,ʔɐ.boɾ.ʃoˈn̪is.t̪ɐ
aborsiyunista,ʔaboɾsiuˈnista,ʔɐ.boɾ.ʃʊˈn̪is.t̪ɐ
aborsyon,ʔaˈboɾsjon,ʔɐˈboɾ.ʃon̪
aborsyonista,ʔaboɾsjoˈnista,ʔɐ.boɾ.ʃoˈn̪is.t̪ɐ
aborsyunista,ʔaboɾsjuˈnista,ʔɐ.boɾ.ʃʊˈn̪is.t̪ɐ
abot,ʔaˈbot,ʔɐˈbot̪̚
abot-kaya,ˌʔabotˈkaja,ˌʔaː.bot̪ˈkaː.jɐ
abot-tanaw,ʔaˌbottaˈnaw,ʔɐˌbot̪t̪ɐˈn̪aʊ̯
aboy,ʔaˈboj,ʔɐˈboɪ̯
aboy-aboy,ʔaˌbojʔaˈboj,ʔɐˌboɪ̯ʔɐˈboɪ̯
abra-siyete,ʔaˌbɾasiˈete,ʔɐˌbɾaˈʃɛː.t̪ɛ
abrakadabra,ˌʔabɾakaˈdabɾa,ˌʔaː.bɾɐ.xɐˈd̪aː.bɾɐ
abrasador,ʔabɾasaˈdoɾ,ʔɐ.bɾɐ.sɐˈd̪oɾ
abrasete,ʔabɾaˈsete,ʔɐ.bɾɐˈsɛː.t̪ɛ
abrasiyete,ʔabɾasiˈete,ʔɐ.bɾɐˈʃɛː.t̪ɛ
abraso,ʔaˈbɾaso,ʔɐˈbɾaː.so
abrasyete,ʔabɾasˈjete,ʔɐ.bɾɐˈʃɛː.t̪ɛ
abre,ʔaˈbɾe,ʔɐˈbɾɛ
abrebasyon,ʔabɾebasˈjon,ʔɐ.bɾɛ.bɐˈʃon̪
abrebiyado,ʔabɾebiˈado,ʔɐ.bɾɛˈbjaː.d̪o
abrebiyasyon,ʔabɾebiasˈjon,ʔɐ.bɾɛ.bjɐˈʃon̪
abrebiyatura,ʔabɾebiaˈtuɾa,ʔɐ.bɾɛ.bjɐˈt̪uː.ɾɐ
abrebyado,ʔabɾebˈjado,ʔɐ.bɾɛbˈjaː.d̪o
abrebyasyon,ʔabɾebjasˈjon,ʔɐ.bɾɛb.jɐˈʃon̪
abrebyatura,ʔabɾebjaˈtuɾa,ʔɐ.bɾɛb.jɐˈt̪uː.ɾɐ
abrelata,ʔabɾeˈlata,ʔɐ.bɾɛˈlaː.t̪ɐ
abretapa,ʔabɾeˈtapa,ʔɐ.bɾɛˈt̪aː.pɐ
abri,ʔaˈbɾi,ʔɐˈbɾɪ
abrigana,ʔabɾiˈɡana,ʔɐ.bɾɪˈɣaː.n̪ɐ
abrisete,ʔabɾiˈsete,ʔɐ.bɾɪˈsɛː.t̪ɛ
abritapa,ʔabɾiˈtapa,ʔɐ.bɾɪˈt̪aː.pɐ
abrodista,ʔabɾoˈdista,ʔɐ.bɾoˈd̪is.t̪ɐ
abroga,ʔabɾoˈɡa,ʔɐ.bɾoˈɣa
abrogahin,ʔabɾoɡaˈhin,ʔɐ.bɾo.ɣɐˈhɪn̪
abrogasyon,ʔabɾoɡasˈjon,ʔɐ.bɾo.ɣɐˈʃon̪
abrotano,ʔaˈbɾotano,ʔɐˌbɾoː.t̪ɐˈn̪o
absen,ˈʔabsen,ˈʔab.sɛn̪
absenera,ʔabseˈneɾa,ʔɐb.sɛˈn̪ɛː.ɾɐ
absenero,ʔabseˈneɾo,ʔɐb.sɛˈn̪ɛː.ɾo
absent,ˈʔabsent,ˈʔab.sɛn̪t̪
absentera,ʔabsenˈteɾa,ʔɐb.sɛn̪ˈt̪ɛː.ɾɐ
absentero,ʔabsenˈteɾo,ʔɐb.sɛn̪ˈt̪ɛː.ɾo
abseso,ʔabˈseso,ʔɐbˈsɛː.so
absik,ʔabˈsik,ʔɐbˈsɪk̚
absintiyo,ʔabˈsintio,ʔɐbˈsin̪.t͡ʃo
absintyo,ʔabˈsintjo,ʔɐbˈsin̪.t͡ʃo
absisa,ʔabˈsisa,ʔɐbˈsiː.sɐ
absisyon,ʔabsisˈjon,ʔɐb.sɪˈʃon̪
absolbe,ʔabsolˈbe,ʔɐb.solˈbɛ
absolusyon,ʔabsolusˈjon,ʔɐb.so.lʊˈʃon̪
absoluto,ʔabsoˈluto,ʔɐb.soˈluː.t̪o
absorpsiyon,ʔabsoɾpsiˈon,ʔɐb.soɹpˈʃon̪
absorpsyon,ʔabsoɾpˈsjon,ʔɐb.soɹpˈʃon̪
absorsiyon,ʔabsoɾsiˈon,ʔɐb.soɾˈʃon̪
absorsyon,ʔabsoɾˈsjon,ʔɐb.soɾˈʃon̪
abstensiyon,ʔabstensiˈon,ʔɐbs.t̪ɛn̪ˈʃon̪
abstensyon,ʔabstenˈsjon,ʔɐbs.t̪ɛn̪ˈʃon̪
abstinensiya,ʔabstiˈnensia,ʔɐbs.t̪ɪˈn̪ɛn̪.ʃɐ
abstinensya,ʔabstiˈnensja,ʔɐbs.t̪ɪˈn̪ɛn̪.ʃɐ
abstrak,ˈʔabstɾak,ˈʔabs.t̪ɾɐk̚
abstraksiyon,ʔabstɾaksiˈon,ʔɐbs.t̪ɾɐkˈʃon̪
abstraksyon,ʔabstɾakˈsjon,ʔɐbs.t̪ɾɐkˈʃon̪
abstrakto,ʔabsˈtɾakto,ʔɐbsˈt̪ɾak.t̪o
absulbi,ʔabsulˈbi,ʔɐb.sʊlˈbɪ
absulusyon,ʔabsulusˈjon,ʔɐb.sʊ.lʊˈʃon̪
absulutismo,ʔabsuluˈtismo,ʔɐb.sʊ.lʊˈt̪is.mo
absulutista,ʔabsuluˈtista,ʔɐb.sʊ.lʊˈt̪is.t̪ɐ
absuluto,ʔabsuˈluto,ʔɐb.sʊˈluː.t̪o
absuweltado,ʔabsuelˈtado,ʔɐb.swɛlˈt̪aː.d̪o
absuwelto,ʔabsuˈelto,ʔɐbˈswɛl.t̪o
absweltado,ʔabswelˈtado,ʔɐb.swɛlˈt̪aː.d̪o
abswelto,ʔabˈswelto,ʔɐbˈswɛl.t̪o
abuab,ʔabuˈʔab,ʔɐ.bʊˈʔab̚
abubor,ʔaˈbuboɾ,ʔɐˈbuː.boɾ
abubot,ʔaˈbubot,ʔɐˈbuː.bot̪̚
abugada,ʔabuˈɡada,ʔɐ.bʊˈɣaː.d̪ɐ
abugadilyo,ʔabuɡaˈdiljo,ʔɐ.bʊ.ɣɐˈd̪il.jo
abugado,ʔabuˈɡado,ʔɐ.bʊˈɣaː.d̪o
abugasiya,ʔabuɡaˈsia,ʔɐ.bʊ.ɣɐˈsiː.jɐ
abugasya,ʔabuɡasˈja,ʔɐ.bʊ.ɣɐˈʃa
abuhan,ˌʔaˈbuhan,ˌʔaːˈbuː.hɐn̪
abuhin,ʔabuˈhin,ʔɐ.bʊˈhɪn̪
abukado,ʔabuˈkado,ʔɐ.bʊˈxaː.d̪o
abukanin,ʔabuˈkanin,ʔɐ.bʊˈxaː.n̪ɪn̪
abukay,ʔaˈbukaj,ʔɐˈbuː.xaɪ̯
abulado,ʔabuˈlado,ʔɐ.bʊˈlaː.d̪o
abuli,ʔabuˈli,ʔɐ.bʊˈlɪ
abuloy,ʔaˈbuloj,ʔɐˈbuː.loɪ̯
abuluyan,ˌʔabuluˈjan,ˌʔaː.bʊ.lʊˈjan̪
abunada,ʔabuˈnada,ʔɐ.bʊˈn̪aː.d̪ɐ
abunado,ʔabuˈnado,ʔɐ.bʊˈn̪aː.d̪o
abundansiya,ʔabunˈdansia,ʔɐ.bʊn̪ˈd̪an̪.ʃɐ
abundansya,ʔabunˈdansja,ʔɐ.bʊn̪ˈd̪an̪.ʃɐ
abunkolokal,ʔabuŋkoˈlokal,ʔɐ.bʊŋ.koˈloː.xɐl
abunkulokal,ʔabuŋkuˈlokal,ʔɐ.bʊŋ.kʊˈloː.xɐl
abuod,ʔaˈbuʔod,ʔɐˈbuː.ʔod̪̚
abuor,ʔaˈbuʔoɾ,ʔɐˈbuː.ʔoɾ
aburido,ʔabuˈɾido,ʔɐ.bʊˈɾiː.d̪o
abursiyon,ʔaˈbuɾsion,ʔɐˈbuɾ.ʃon̪
abursyon,ʔaˈbuɾsjon,ʔɐˈbuɾ.ʃon̪
abusera,ʔabuˈseɾa,ʔɐ.bʊˈsɛː.ɾɐ
abusero,ʔabuˈseɾo,ʔɐ.bʊˈsɛː.ɾo
abusibo,ʔabuˈsibo,ʔɐ.bʊˈsiː.bo
abusion,ʔabusˈjon,ʔɐ.bʊˈʃon̪
abusiyon,ʔabusiˈon,ʔɐ.bʊˈʃon̪
abusuhin,ʔabuˈsuhin,ʔɐ.bʊˈsuː.hɪn̪
abusyon,ʔabusˈjon,ʔɐ.bʊˈʃon̪
abutab,ʔabuˈtab,ʔɐ.bʊˈt̪ab̚
abutan,ʔabuˈtan,ʔɐ.bʊˈt̪an̪
abutdan,ʔabutˈdan,ʔɐ.bʊt̪ˈd̪an̪
abutin,ʔaˈbutin,ʔɐˈbuː.t̪ɪn̪
abutra,ʔaˈbutɾa,ʔɐˈbut̪.ɾɐ
abuwab,ʔabuˈab,ʔɐˈbwab̚
abuwela,ʔabuˈela,ʔɐˈbwɛː.lɐ
abuwelo,ʔabuˈelo,ʔɐˈbwɛː.lo
abuwod,ʔaˈbuod,ʔɐˈbuː.wod̪̚
abuwor,ʔaˈbuoɾ,ʔɐˈbuː.woɾ
abuy-aboy,ʔaˌbujʔaˈboj,ʔɐˌbʊɪ̯ʔɐˈboɪ̯
abwab,ʔabˈwab,ʔɐbˈwab̚
abwela,ʔabˈwela,ʔɐbˈwɛː.lɐ
abwelo,ʔabˈwelo,ʔɐbˈwɛː.lo
abyad,ʔabˈjad,ʔɐbˈjad̪̚
abyador,ʔabjaˈdoɾ,ʔɐb.jɐˈd̪oɾ
abyarin,ʔabjaˈɾin,ʔɐb.jɐˈɾɪn̪
abyasyon,ʔabjasˈjon,ʔɐb.jɐˈʃon̪
abyerta,ʔabˈjeɾta,ʔɐbˈjɛɾ.t̪ɐ
abyerto,ʔabˈjeɾto,ʔɐbˈjɛɾ.t̪o
abyog,ʔabˈjoɡ,ʔɐbˈjoɡ̚
abyohenesis,ʔabjoˈhenesis,ʔɐb.joˌhɛː.n̪ɛˈsɪs
abyolohiya,ʔabjoloˈhia,ʔɐb.jo.loˈhiː.jɐ
abyugin,ʔabjuˈɡin,ʔɐb.jʊˈɣɪn̪
ada,ˈʔada,ˈʔaː.d̪ɐ
adagio,ʔaˈdahio,ʔɐˈd̪aː.hjo
adahiyo,ʔaˈdahio,ʔɐˈd̪aː.hjo
adahyo,ʔaˈdahjo,ʔɐˈd̪aː.hjo
adapsiyon,ʔaˈdapsion,ʔɐˈd̪ap.ʃon̪
adapsyon,ʔaˈdapsjon,ʔɐˈd̪ap.ʃon̪
adaptasiyon,ʔadaptasiˈon,ʔɐ.d̪ɐp.t̪ɐˈʃon̪
adaptasyon,ʔadaptasˈjon,ʔɐ.d̪ɐp.t̪ɐˈʃon̪
adargilya,ʔadaɾˈɡilja,ʔɐ.d̪ɐɾˈɡil.jɐ
adberbiyal,ʔadbeɾbiˈal,ʔɐd̪.bɛɾˈbjal
adberbiyo,ʔadˈbeɾbio,ʔɐd̪ˈbɛɾ.bjo
adberbyal,ʔadbeɾˈbjal,ʔɐd̪.bɛɾˈbjal
adberbyo,ʔadˈbeɾbjo,ʔɐd̪ˈbɛɾ.bjo
adbersaryo,ʔadbeɾˈsaɾjo,ʔɐd̪.bɛɾˈsaɾ.jo
adbersidad,ʔadbeɾsiˈdad,ʔɐd̪.bɛɾ.sɪˈd̪ad̪̚
adbertaiser,ʔadbeɾˈtajseɾ,ʔɐd̪.bɛɾˈt̪aɪ̯.sɛɾ
adbertayser,ʔadbeɾˈtajseɾ,ʔɐd̪.bɛɾˈt̪aɪ̯.sɛɾ
adbertensiya,ʔadbeɾˈtensia,ʔɐd̪.bɛɾˈt̪ɛn̪.ʃɐ
adbertensya,ʔadbeɾˈtensja,ʔɐd̪.bɛɾˈt̪ɛn̪.ʃɐ
adberti,ʔadbeɾˈti,ʔɐd̪.bɛɾˈt̪ɪ
adbertido,ʔadbeɾˈtido,ʔɐd̪.bɛɾˈt̪iː.d̪o
adbertismen,ʔadˈbeɾtismen,ʔɐd̪ˌbɛɾ.t̪ɪsˈmɛn̪
adbertisment,ʔadˈbeɾtisment,ʔɐd̪ˌbɛɾ.t̪ɪsˈmɛn̪t̪
adbokasi,ʔadˈbokasi,ʔɐd̪ˌboː.xɐˈsɪ
adbokasiya,ʔadbokaˈsia,ʔɐd̪.bo.xɐˈsiː.jɐ
adegon,ʔadeˈɡon,ʔɐ.d̪ɛˈɣon̪
adelpa,ʔaˈdelpa,ʔɐˈd̪ɛl.pɐ
adereso,ʔadeˈɾeso,ʔɐ.d̪ɛˈɾɛː.so
adhesibo,ʔadheˈsibo,ʔɐd̪.hɛˈsiː.bo
adhesyon,ʔadhesˈjon,ʔɐd̪.hɛˈʃon̪
adhetibal,ʔadhetiˈbal,ʔɐd̪.hɛ.t̪ɪˈbal
adhetibo,ʔadheˈtibo,ʔɐd̪.hɛˈt̪iː.bo
adhikain,ʔadhiˈkaʔin,ʔɐd̪.hɪˈxaː.ʔɪn̪
adhudika,ʔadhudiˈka,ʔɐd̪.hʊ.d̪ɪˈxa
adhudikasyon,ʔadhudikasˈjon,ʔɐd̪.hʊ.d̪ɪ.xɐˈʃon̪
adibina,ʔadibiˈna,ʔɐ.d̪ɪ.bɪˈn̪a
adibinador,ʔadibinaˈdoɾ,ʔɐ.d̪ɪ.bɪ.n̪ɐˈd̪oɾ
adibino,ʔadiˈbino,ʔɐ.d̪ɪˈbiː.n̪o
adidas,ʔaˈdidas,ʔɐˈd̪iː.d̪ɐs
adik,ˈʔadik,ˈʔaː.d̪ɪk̚
adiksiyon,ʔadiksiˈon,ʔɐ.d̪ɪkˈʃon̪
adiksyon,ʔadikˈsjon,ʔɐ.d̪ɪkˈʃon̪
adikto,ʔaˈdikto,ʔɐˈd̪ik.t̪o
adilus,ʔadiˈlus,ʔɐ.d̪ɪˈlʊs
ading,ˈʔadiŋ,ˈʔaː.d̪ɪŋ
adisinuwebe,ʔadisinuˈebe,ʔɐ.d̪ɪ.sɪˈn̪wɛː.bɛ
adisinwebe,ʔadisinˈwebe,ʔɐ.d̪ɪ.sɪn̪ˈwɛː.bɛ
adisiotso,ʔadisiˈʔot͡ʃo,ʔɐ.d̪ɪ.sɪˈʔoː.t͡ʃo
adisisais,ʔadisisaˈʔis,ʔɐ.d̪ɪ.sɪ.sɐˈʔɪs
adisiseis,ʔadisiseˈʔis,ʔɐ.d̪ɪ.sɪ.sɛˈʔɪs
adisisiyete,ʔadisisiˈete,ʔɐ.d̪ɪ.sɪˈʃɛː.t̪ɛ
adisisyete,ʔadisisˈjete,ʔɐ.d̪ɪ.sɪˈʃɛː.t̪ɛ
